fname	lname	city	order_amount
Mary	Krause	Chula Vista	539.9300000000001
Jean	Maxwell	Sylmar	539.9300000000001
Henry	Smith	Caguas	539.9300000000001
Mary	Martinez	Warren	539.9300000000001
Mary	Mckee	Pittsfield	539.9300000000001
Robert	Rodriguez	Gardena	539.9300000000001
Stephen	Blair	Tonawanda	539.9300000000001
Christian	Keller	Caguas	539.9300000000001
John	Smith	Caguas	539.9300000000001
Walter	Osborne	Tucson	539.9300000000001
Mary	Smith	Warren	539.9300000000001
Rachel	Smith	Chambersburg	539.9300000000001
Anna	Robertson	Wheeling	539.9300000000001
Gerald	Smith	Caguas	539.9300000000001
Kathryn	Ware	Saint Louis	539.9300000000001
Mary	Contreras	Dallas	539.9300000000001
Brenda	Gonzalez	Dundalk	539.9300000000001
Randy	Ball	Caguas	539.9300000000001
Mary	Adams	Broken Arrow	539.9300000000001
Mary	Carrillo	Mesa	539.9300000000001
Benjamin	Duarte	San Juan	539.9300000000001
Mary	Mendoza	Stockbridge	539.9300000000001
Ruth	Smith	Caguas	539.9300000000001
Rebecca	Smith	Hayward	539.9300000000001
Mary	Smith	Lake Forest	539.93
Kyle	Smith	Caguas	539.93
Mary	Freeman	Pawtucket	539.93
Jack	Smith	Hesperia	539.9200000000001
Mary	Gardner	Frankfort	539.9200000000001
Mary	Stephenson	Saint Paul	539.9200000000001
Patrick	Parsons	Augusta	539.9200000000001
Mary	Smith	Caguas	539.9200000000001
Ryan	Smith	Encinitas	539.9200000000001
Mary	Smith	Tucson	539.9200000000001
Mary	Garcia	Caguas	539.9200000000001
Andrea	Smith	Hialeah	539.9200000000001
Mary	Smith	Ponce	539.9200000000001
Mary	Gonzales	Lenoir	539.9200000000001
Mary	Russell	Billings	539.9200000000001
Mary	Adkins	Caguas	539.9200000000001
Mary	Torres	Caguas	539.9200000000001
Ann	Zimmerman	Painesville	539.9200000000001
Mary	Smith	Caguas	539.9200000000001
Christopher	Barnett	Chicago	539.92
Theresa	Smith	Roseville	539.92
Cynthia	Doyle	Caguas	539.9100000000001
Mary	Guerrero	Los Angeles	539.9100000000001
Mary	Smith	Antioch	539.9100000000001
Mary	Ortega	Caguas	539.9100000000001
Mary	Romero	San Francisco	539.9100000000001
Mary	Griffith	Caguas	539.9100000000001
Jose	Smith	Austin	539.9100000000001
Laura	Ford	Kent	539.9100000000001
Mary	Kent	Azusa	539.9100000000001
Carolyn	Smith	West Lafayette	539.9100000000001
Mary	Shepherd	San Jose	539.9100000000001
Walter	Lambert	Sunnyvale	539.9100000000001
Crystal	Rodriguez	North Tonawanda	539.9100000000001
Mary	Smith	Caguas	539.9100000000001
Barbara	Smith	Lockport	539.9100000000001
Nicole	Lynn	Caguas	539.9100000000001
Sharon	Smith	Caguas	539.91
Roger	Smith	Crown Point	539.91
Lisa	Hudson	San Antonio	539.91
Mary	Smith	Ridgewood	539.91
Nancy	Smith	Winter Park	539.91
Mary	Smith	Smyrna	539.91
Mary	Singleton	Dallas	539.91
Jerry	Smith	Carol Stream	539.91
Billy	Thompson	College Station	539.91
Walter	Lambert	Sunnyvale	539.91
Mary	Mcdonald	Caguas	539.91
Mary	Smith	Levittown	539.91
Rachel	Smith	Chandler	539.91
Bruce	Paul	Caguas	539.91
Mary	Smith	Los Angeles	539.91
Mary	Lane	Caguas	539.91
Evelyn	Smith	Tempe	539.91
Mary	Valentine	Caguas	539.91
Hannah	Ellison	Ontario	539.91
Catherine	Smith	Caguas	539.91
Steven	Gonzalez	Caguas	539.91
Mary	Smith	Houston	539.91
Jordan	Smith	Glenview	539.91
Mary	Smith	Carrollton	539.91
Catherine	Zamora	Caguas	539.91
Randy	Elliott	Caguas	539.91
Mary	Smith	El Paso	539.91
Mary	Smith	Baldwin Park	539.91
Deborah	Smith	New Bedford	539.91
Cynthia	Smith	Caguas	539.91
Carol	Gill	Longview	539.91
Pamela	Browning	Hialeah	539.91
William	Hunter	Washington	539.91
Mark	Edwards	Mililani	539.91
Emma	Wilson	Caguas	539.91
Mary	Neal	Phoenix	539.9
Deborah	Smith	Yonkers	539.9
Charles	Riley	Loveland	539.9
Dorothy	Buck	Costa Mesa	539.9
Douglas	Murphy	Gaithersburg	539.9
Mary	Flores	Caguas	539.9
Robert	Roberson	Caguas	539.9
Kathleen	Smith	Pawtucket	539.9
Debra	Smith	Amarillo	539.9
Mary	Smith	Caguas	539.9
Mark	Smith	Caguas	539.9
Grace	Gould	Quincy	539.89
Mary	Smith	Caguas	539.89
Amy	Le	Dundalk	539.89
Kathleen	Patrick	San Diego	539.89
William	Smith	Caguas	539.89
Anna	Maynard	Cordova	539.89
Jennifer	Smith	Norfolk	539.88
Mary	Smith	Massillon	539.88
Willie	Stafford	Caguas	539.88
Mary	Oneal	Peoria	539.88
Mary	Hardin	Caguas	539.88
Mary	Smith	Elgin	539.88
Mary	Bass	Baltimore	539.87
Bryan	Stanton	Yonkers	539.87
Mary	Freeman	Florissant	539.87
Harry	Smith	Virginia Beach	539.87
Timothy	George	Costa Mesa	539.86
Mary	Campos	Caguas	539.86
William	Smith	Honolulu	539.86
Mary	Smith	Caguas	539.86
Gary	Baker	Plano	539.86
Susan	Smith	Caguas	539.86
David	Smith	Aurora	539.86
Kathleen	Mayer	Enfield	539.85
Martha	Pierce	Plymouth	539.85
Alan	Smith	Pompano Beach	539.85
Bryan	Jackson	Anaheim	539.85
Pamela	Chavez	Hollywood	539.85
Mary	Hughes	Caguas	539.85
Arthur	Smith	Tampa	539.85
James	Smith	Chula Vista	539.8499999999999
Mary	Freeman	Caguas	539.84
Carolyn	Harmon	Caguas	539.84
Nathan	Gilmore	Caguas	539.84
Mary	Mann	Bend	539.84
Larry	House	Waukegan	539.84
Patrick	Murphy	New Haven	539.84
Tyler	Gutierrez	Aurora	539.84
Patrick	Webb	Caguas	539.84
Andrew	Johnston	Caguas	539.84
Mary	Smith	Caguas	539.84
Mary	Weber	Dayton	539.8399999999999
Mary	Smith	Hollywood	539.83
Nancy	Bryant	Caguas	538.98
Dorothy	Smith	Caguas	538.9300000000001
Mary	Smith	Mission Viejo	538.9300000000001
Tammy	Smith	Azusa	538.86
Kathryn	Davis	Philadelphia	537.98
Mary	Tate	Brooklyn	537.97
Katherine	Brown	Albuquerque	537.96
Mary	Smith	Brooklyn	537.94
Gary	Hodges	North Hollywood	537.88
Laura	Smith	Plano	537.84
Julia	Smith	Chula Vista	536.9300000000001
Robert	Smith	New York	535.96
Mary	Smith	Caguas	535.95
Anthony	Wright	Caguas	535.95
Robert	Smith	Yuma	535.9300000000001
Jacob	Wheeler	West Chester	535.9300000000001
Michael	Cowan	Quincy	535.9200000000001
Ronald	Williamson	Burnsville	535.91
Deborah	Smith	Hayward	535.9
Aaron	Smith	Annandale	535.88
Mary	Sellers	Caguas	535.86
Mary	Glenn	Los Angeles	534.97
Mary	Contreras	Dallas	534.97
Mary	Harris	Fremont	534.97
Mary	Ball	Saint Paul	534.97
Mary	Lopez	Chicago	534.97
Jennifer	Morse	Brandon	534.97
Mary	Smith	Duluth	534.96
David	Smith	Humacao	534.96
Debra	Turner	Pompano Beach	534.96
Christian	Keller	Caguas	534.95
Julie	Smith	Washington	534.95
Carolyn	Davis	Oviedo	534.95
Kathleen	Price	Chicago	534.95
Tiffany	Smith	Lynnwood	534.95
Diana	Smith	Caguas	534.95
Janice	Harrison	Bellflower	534.95
Samantha	Higgins	Miami	534.95
Rebecca	Parker	Brooklyn	534.94
Mary	Smith	Broomfield	534.94
Mary	Smith	Brooklyn	534.9300000000001
Nicholas	Smith	Staten Island	534.9300000000001
Anthony	Leblanc	Milpitas	534.93
Mary	Mullins	Canyon Country	534.9200000000001
Mary	Smith	Aurora	534.9200000000001
Karen	Collins	Chicago	534.9200000000001
Patrick	Mayo	Walnut	534.9100000000001
Joseph	Singh	Caguas	534.9100000000001
Mary	Mercer	Aurora	534.9
Mary	Smith	La Crosse	534.9
Zachary	Kline	Jamaica	534.88
Keith	Smith	Houston	534.87
Janet	Harvey	Caguas	533.96
Crystal	Benjamin	Caguas	533.94
Kathryn	Smith	Methuen	533.94
Megan	Hudson	San Bernardino	533.9300000000001
Stephen	Smith	Caguas	533.9200000000001
Nathan	Gilmore	Caguas	533.92
Mary	Lambert	Marietta	533.89
Mary	Sutton	Caguas	533.8700000000001
Mary	Larson	Cleveland	533.8499999999999
Mary	Reeves	Bayamon	532.9300000000001
Mary	Gilbert	Caguas	532.9200000000001
Mary	Dunn	Caguas	532.8299999999999
Mary	Bowers	Saint Peters	531.97
Kevin	Smith	Reno	531.95
Mary	Smith	Gaithersburg	531.94
Douglas	Smith	Caguas	531.94
Rebecca	Harmon	Waipahu	531.94
Mary	Smith	Plano	531.94
Mary	Roberson	Brooklyn	531.9300000000001
Mary	Smith	Dallas	531.92
Scott	Smith	Mayaguez	531.9
Timothy	Vega	Los Angeles	531.9
Mary	Bates	Caguas	531.89
Tyler	Gutierrez	Aurora	531.87
Mary	Cameron	Caguas	531.87
Mary	Mercer	Tallahassee	531.84
Gary	Smith	Portland	530.95
Mary	Barnes	Simi Valley	530.9
Teresa	Willis	Englewood	529.99
Alice	Smith	O Fallon	529.99
Judy	Nixon	Sanford	529.99
Mary	Crawford	Valrico	529.99
Alexander	Smith	Oakland	529.99
Michael	Townsend	Spring Valley	529.99
Mary	Petty	Caguas	529.99
Mary	Adams	Moreno Valley	529.99
Sandra	Johnson	Caguas	529.99
Betty	Smith	Caguas	529.99
Alice	Allen	Caguas	529.98
Joe	Juarez	Miami	529.98
Kelly	Bradley	Caguas	529.98
Mary	Martinez	Warren	529.98
Beverly	Ellis	Caguas	529.98
Mary	Matthews	Caguas	529.98
Rebecca	Smith	Rowland Heights	529.98
Aaron	Boyle	Fontana	529.98
Joe	Richardson	Saint Louis	529.98
Joseph	Neal	Caguas	529.98
Jerry	Deleon	Caguas	529.98
Jennifer	Smith	Caguas	529.98
Mary	Smith	New York	529.98
David	Lawrence	Caguas	529.98
Jack	Townsend	Long Beach	529.98
Mary	Vaughn	Encinitas	529.98
Eric	Smith	Tustin	529.98
Mary	Smith	Los Angeles	529.98
Mary	Merritt	San Jose	529.98
Richard	Smith	Caguas	529.98
Nathan	Smith	Caguas	529.98
Alice	Smith	Caguas	529.98
Rose	Jones	Opelousas	529.98
