fname	lname	city	order_amount
Catherine	Moreno	Silver Spring	529.97
John	Farmer	Caguas	529.97
Kathryn	Smith	Caguas	529.97
Richard	Smith	Caguas	529.97
Jerry	Smith	Los Angeles	529.97
Emily	Smith	Austin	529.97
Mary	Smith	Caguas	529.97
Mary	Lawrence	Caguas	529.97
Mary	Weber	Dayton	529.97
Elizabeth	Fernandez	Fremont	529.97
Anna	Conrad	Caguas	529.97
Mary	Smith	Caguas	529.97
Michael	Smith	Dallas	529.97
Mary	Salazar	Tempe	529.97
Sarah	Chase	Saint Louis	529.97
Alexander	Meyer	Bronx	529.97
Jessica	Larson	Palatine	529.97
Mary	Brock	Caguas	529.97
Judith	Smith	Arlington Heights	529.97
Crystal	Hayden	Glendale	529.97
Sean	Hoffman	Caguas	529.97
Andrew	Glenn	Palatine	529.97
Roger	Conner	Westland	529.97
James	Wilson	Caguas	529.97
Gary	Lewis	Miami	529.97
Mary	Smith	Brooklyn	529.97
Sean	Navarro	Sugar Land	529.97
John	Walter	Holland	529.97
Kevin	Garcia	Chino	529.97
John	Hughes	Caguas	529.97
Laura	Sparks	Caguas	529.97
Mary	Wolf	Greensboro	529.97
Mary	Smith	Laredo	529.97
Mary	Smith	Marietta	529.97
Nicole	Harrison	Caguas	529.97
Mary	Smith	Newburgh	529.97
Michael	Smith	Caguas	529.97
Lawrence	Deleon	Caguas	529.97
Mary	Soto	Caguas	529.97
Shirley	Whitehead	Caguas	529.97
Mary	Smith	Los Angeles	529.97
Paul	Moon	Philadelphia	529.97
Mary	Smith	Oceanside	529.97
Mary	Smith	Philadelphia	529.97
Mary	Mccoy	Arecibo	529.97
Theresa	Welch	Miami	529.97
Mary	Smith	Caguas	529.97
Benjamin	Carroll	Quincy	529.97
Mary	Smith	Caguas	529.97
Jack	Sloan	Columbia	529.97
Mary	Glenn	Los Angeles	529.97
Marie	Lee	Longmont	529.97
Mary	Smith	Caguas	529.97
Stephen	Campbell	Escondido	529.97
Mary	Odom	Stone Mountain	529.97
Mary	Smith	Fontana	529.97
Mary	Smith	Douglasville	529.97
Dylan	Smith	Caguas	529.97
Mary	Richards	North Tonawanda	529.97
Kyle	Wheeler	Webster	529.97
Mary	Smith	El Paso	529.97
Philip	Smith	Austin	529.97
Austin	Estes	San Pablo	529.97
Christopher	Alexander	San Marcos	529.97
Janet	Harvey	Caguas	529.97
Mary	Conrad	Fort Worth	529.97
Brittany	Marquez	Caguas	529.97
Mary	Smith	Caguas	529.97
Mary	Terry	Caguas	529.97
Mary	Smith	Austin	529.97
Mary	Barry	New York	529.97
Timothy	Smith	El Paso	529.97
Lauren	Smith	Dorchester Center	529.97
Anthony	Wade	San Diego	529.97
Mary	Smith	Newark	529.97
David	Miller	Rio Grande	529.97
Janet	Roy	Caguas	529.97
Mary	Smith	Greenville	529.97
Larry	Peterson	Buena Park	529.97
Melissa	Wilcox	Caguas	529.97
Virginia	Dyer	Quincy	529.97
Martha	Daniels	Caguas	529.97
Olivia	Smith	Caguas	529.97
Megan	Schmidt	New Braunfels	529.97
