fname	lname	city	order_amount
Mary	Palmer	Elgin	799.95
Mary	Anderson	Caguas	799.95
Paul	Villa	Pomona	799.95
Mary	Oneill	Moreno Valley	799.95
Mary	Dyer	Brooklyn	799.95
Paul	Sanchez	South Richmond Hill	799.95
Andrew	Smith	San Diego	799.95
Mary	Mcbride	Raleigh	799.95
Teresa	White	New York	799.95
Rebecca	Tran	Glendale	799.95
Elizabeth	Andrews	Princeton	799.95
Mary	Fletcher	San Benito	799.95
Deborah	Roberts	Sacramento	799.95
Shawn	Cross	Caguas	799.95
Mary	Jones	Alameda	799.95
Mary	Ali	Greensboro	799.95
Timothy	Vasquez	Caguas	799.95
Barbara	Smith	Detroit	799.95
Kyle	Wheeler	Webster	799.95
Mary	Smith	Los Angeles	799.95
Jessica	Valdez	Caguas	799.95
Debra	Smith	Anaheim	799.95
Mary	Navarro	Caguas	799.95
Justin	Noble	Caguas	799.95
Mary	Wallace	San Juan	799.95
Hannah	Wilcox	Caguas	799.95
Marie	Smith	Milpitas	799.95
Michael	Miller	Hollywood	799.95
Mary	Soto	Bell Gardens	799.95
Samantha	Smith	Chicago	799.95
Harry	Smith	Virginia Beach	799.95
Johnny	Mora	Moline	799.95
Benjamin	Clark	Eugene	799.95
Mary	Smith	Endicott	799.95
Jacob	Murphy	Rowland Heights	799.95
Mary	Garrett	Caguas	799.95
Evelyn	Thompson	Caguas	799.95
Douglas	Smith	Caguas	799.95
Mary	Daniel	Stockbridge	799.95
Mary	Smith	Los Angeles	799.95
Mary	Smith	Caguas	799.95
Mary	Goodman	Pekin	799.95
Carol	Jackson	Caguas	799.95
Mary	Delgado	Harlingen	799.95
Ryan	Allen	Chesapeake	799.95
Mary	Tucker	Caguas	799.95
Rachel	Prince	Caguas	799.95
Mary	Campos	Kent	799.95
Mary	Smith	Los Angeles	799.95
Catherine	Chan	Citrus Heights	799.95
Mary	Smith	Caguas	799.95
Mary	Mays	Caguas	799.95
Mary	Smith	Caguas	799.95
Terry	Smith	Caguas	799.95
Mary	Smith	Elmhurst	799.95
Mary	Mckee	Pittsfield	799.95
Marie	Jackson	Vacaville	799.95
Margaret	Booth	Arlington	799.95
Mary	Evans	Florissant	799.95
Mary	Mullins	Los Angeles	799.95
Mary	Gay	Ann Arbor	799.95
Mary	Powell	Seattle	799.95
Mary	Proctor	Redmond	799.95
Betty	Moore	South Gate	799.95
Madison	Blankenship	Phoenix	799.95
Mary	Smith	Ballwin	799.95
Joshua	Smith	Westland	799.95
Mary	Clements	Caguas	799.95
Jerry	Sandoval	Staten Island	799.95
Andrew	Smith	Caguas	799.95
Roy	Smith	Milwaukee	799.95
Jason	Cummings	Bakersfield	799.95
Jack	Gilmore	Phoenix	799.94
Benjamin	Smith	Caguas	799.94
Peter	Smith	Greenville	799.94
Mary	Smith	Los Angeles	799.94
Mary	Smith	Caguas	799.94
Mary	Rangel	Lancaster	799.94
Michael	Hall	Phoenix	799.94
Michael	Mccann	Virginia Beach	799.94
Mary	Smith	Orange Park	799.94
Angela	Smith	Ontario	799.94
Mary	Hines	Raleigh	799.94
David	Winters	Clearfield	799.94
Janice	Ward	Caguas	799.94
Mary	Smith	San Jose	799.94
Lawrence	Kidd	South Ozone Park	799.94
George	Chambers	Caguas	799.94
Mary	Weeks	Caguas	799.94
Michael	Raymond	Buffalo	799.94
Mary	Beasley	Caguas	799.94
Joshua	Livingston	Wilmington	799.94
Janice	Smith	Panorama City	799.94
Harry	Smith	Stockton	799.94
Kevin	Graham	Caguas	799.94
Robert	Roberson	Caguas	799.94
Mary	Kelley	Salinas	799.94
Emma	Rivas	Caguas	799.94
Mary	Moore	Santa Clara	799.94
Mary	Howell	Van Nuys	799.94
Mary	Cisneros	Ontario	799.94
Mary	Smith	Silver Spring	799.94
Mary	Smith	Des Plaines	799.94
Mary	Nash	Caguas	799.94
Sarah	Aguilar	Caguas	799.94
Mary	Williams	Caguas	799.94
Margaret	Juarez	Citrus Heights	799.94
Evelyn	Smith	Greeley	799.94
Mary	Smith	Caguas	799.94
Mary	Smith	Caguas	799.94
David	Smith	Caguas	799.94
Ruth	Deleon	Caguas	799.94
Mary	Smith	Brooklyn	799.94
Joan	Alexander	Pico Rivera	799.94
Rose	Smith	Caguas	799.94
Mary	Newman	Laredo	799.94
Margaret	Martinez	Caguas	799.94
Mary	Smith	Lawrenceville	799.94
Robert	Smith	Yuma	799.94
Mary	Smith	La Crosse	799.94
Mary	Wood	Caguas	799.94
