fname	lname	city	order_amount
Mary	Smith	Caguas	989.8300000000002
Phillip	Smith	Caguas	989.83
Andrea	Nunez	Los Angeles	989.83
Harry	Graves	Santa Ana	989.83
Mary	Harper	Caguas	989.83
Willie	Daniel	Tempe	989.83
Scott	Smith	Caguas	989.83
Joseph	Noble	Brockton	989.83
Martha	Evans	Caguas	989.8299999999999
Mary	Smith	Ithaca	989.82
Mary	Gutierrez	Santa Clara	989.82
Mary	Williams	Pawtucket	989.8199999999999
Deborah	Brown	New York	989.8100000000002
Mary	Smith	Caguas	989.8100000000001
Brittany	Bentley	Saint Paul	989.81
Donald	Cuevas	Tallahassee	989.81
Melissa	Powell	Dallas	989.81
Philip	Smith	Caguas	989.81
Donna	Hall	Orlando	989.8000000000001
Mary	Booth	Caguas	989.8000000000001
Mary	Poole	New York	989.8000000000001
Bruce	Thornton	Columbus	989.8
Mary	Tate	Brooklyn	989.8
Matthew	Juarez	Fort Lauderdale	989.7900000000001
Joshua	Huynh	West Haven	989.78
Anna	Smith	Hacienda Heights	989.78
Mary	Sharp	Caguas	989.78
Marie	Martinez	San Jose	989.76
Betty	Phillips	Caguas	989.7
Cheryl	Smith	San Diego	988.97
Kimberly	Smith	Caguas	988.94
Maria	Smith	Washington	987.9300000000001
Dorothy	Frye	El Paso	987.9200000000001
Timothy	Smith	Fort Lauderdale	987.9200000000001
Sara	Collins	Caguas	987.8900000000001
Mary	Smith	Bronx	986.9100000000001
Mary	Smith	Davis	985.9300000000001
Dorothy	Merritt	Cleveland	985.9100000000001
Mary	Frost	New York	985.9100000000001
Tammy	Smith	Caguas	985.8900000000001
Mary	Lynch	New Orleans	984.95
Kathy	Smith	Cleveland	984.94
Jeremy	Smith	Caguas	984.9300000000001
Mary	Martin	Caguas	984.9100000000001
Mary	Smith	Lombard	984.9000000000001
Betty	Neal	Caguas	984.9000000000001
Jack	Smith	Passaic	984.9000000000001
Emma	Munoz	Caguas	984.9000000000001
Jason	Smith	Caguas	984.8900000000001
Brittany	Smith	Caguas	984.8900000000001
Vincent	Valenzuela	Caguas	984.8800000000001
William	Smith	Detroit	984.88
Sarah	Smith	Rochester	984.8700000000001
Richard	Rich	Oxnard	984.87
James	Nielsen	Chicago	984.8600000000001
Zachary	Taylor	Caguas	984.8600000000001
Eugene	Hardin	Caguas	984.86
Henry	Maldonado	Caguas	984.8599999999999
Sharon	Sellers	Corona	984.84
Mary	Flowers	Caguas	984.8399999999999
Mary	Perry	Bountiful	984.8299999999999
Jean	Smith	Chicago	984.81
Laura	Woodward	Caguas	983.9000000000001
Linda	Smith	Elmhurst	983.9000000000001
Jennifer	Smith	Freeport	983.8900000000001
Julie	Santiago	Fort Worth	983.8700000000001
Crystal	Foster	Trujillo Alto	981.9000000000001
Amy	Smith	Cordova	981.8900000000001
Christopher	Perkins	San Jose	981.86
Christina	Smith	Cleveland	981.85
Jane	Price	Caguas	981.7899999999998
Mary	Smith	Austin	979.98
Mary	Smith	Caguas	979.97
Edward	Mccoy	Caguas	979.97
Mary	Smith	Caguas	979.97
Mary	Sanchez	Caguas	979.96
Mary	Herman	Chicago	979.96
Mary	Smith	Chicago	979.96
Shawn	Smith	Caguas	979.96
Mary	Cameron	Caguas	979.96
Mary	Brady	Caguas	979.96
Mary	Smith	Levittown	979.96
Sean	Castro	Birmingham	979.95
Robert	Smith	Yuma	979.95
Elizabeth	Smith	Caguas	979.95
Michael	Smith	Caguas	979.95
Andrew	Smith	Chicago	979.95
Pamela	Rivers	Caguas	979.95
Nicholas	Gomez	Chicago	979.95
Mary	Shaw	Baltimore	979.95
Roy	Malone	Plainfield	979.95
Nicole	Smith	Caguas	979.95
Sarah	Freeman	Miami	979.95
Martha	Holloway	Caguas	979.95
Debra	Mccarthy	Bronx	979.95
Jerry	Clark	Caguas	979.95
Dorothy	Smith	Pharr	979.95
Mary	Lowe	Milpitas	979.95
Kathleen	Becker	Brooklyn	979.95
Mary	Pearson	Brooklyn	979.95
Marilyn	Smith	Caguas	979.95
Kenneth	Smith	Plainfield	979.95
Lauren	Coleman	Caguas	979.95
Timothy	Ellison	Phoenix	979.95
William	Landry	Tucson	979.95
Megan	Lynch	San Antonio	979.95
Mary	Smith	Long Beach	979.95
Charles	Smith	Caguas	979.95
Donald	Rowland	Jamaica	979.95
Philip	Smith	Carmichael	979.95
Katherine	Smith	Caguas	979.95
Mary	Mercado	Lakewood	979.95
Brian	Clark	Caguas	979.95
Amber	Smith	Dundalk	979.95
Lauren	Hartman	Caguas	979.95
Marie	Gomez	Caguas	979.94
George	Smith	Caguas	979.94
Mary	Dunn	Arlington	979.94
Christopher	Smith	Provo	979.94
Mary	Hardin	Phoenix	979.94
Gloria	Dickson	Milpitas	979.94
Charles	Johnson	Caguas	979.94
Mary	Davis	Ontario	979.94
Michelle	Keith	Caguas	979.94
Mary	Brown	Los Angeles	979.94
Rose	Harper	Caguas	979.94
Mary	Lewis	Ontario	979.94
William	Schroeder	Washington	979.94
Shirley	Riley	Caguas	979.94
Mary	Santos	Wichita	979.94
Mary	Holland	Jackson	979.94
Willie	Pena	San Juan	979.94
Maria	Rowe	Bronx	979.94
Susan	Nicholson	Huntington Beach	979.9300000000001
Mary	Gutierrez	Caguas	979.9300000000001
David	Smith	New Haven	979.9300000000001
Mary	Smith	Caguas	979.9300000000001
Ann	Smith	West Jordan	979.9300000000001
Ronald	Smith	Fountain Valley	979.9300000000001
Mary	Rios	Kaneohe	979.9300000000001
Mary	White	Bristol	979.9300000000001
Jeremy	Smith	Brooklyn	979.9300000000001
Mary	Cisneros	Chillicothe	979.9300000000001
Joyce	Phillips	North Tonawanda	979.9300000000001
Tyler	Thompson	Fort Worth	979.9300000000001
Alexander	Salas	Marrero	979.9300000000001
Amanda	Campbell	Caguas	979.9300000000001
Donna	Smith	Atlanta	979.9300000000001
Margaret	Fischer	Yauco	979.9300000000001
Beverly	Smith	Caguas	979.9300000000001
Justin	Smith	Caguas	979.9300000000001
Joseph	Smith	Caguas	979.9300000000001
Mary	Wilson	Fort Lauderdale	979.9300000000001
John	Logan	Pharr	979.9300000000001
Hannah	Smith	Caguas	979.9300000000001
Maria	Smith	Caguas	979.9300000000001
Kevin	Jarvis	Caguas	979.9300000000001
Mary	Smith	Caguas	979.9300000000001
Michelle	Smith	Caguas	979.9300000000001
Nancy	Smith	Caguas	979.9300000000001
Elizabeth	Parker	Vista	979.9300000000001
Steven	Smith	Caguas	979.9300000000001
Mary	Smith	Caguas	979.9300000000001
Beverly	Pugh	Caguas	979.9300000000001
Tiffany	Parks	New Orleans	979.9300000000001
Mary	Wilkerson	Moreno Valley	979.9300000000001
Louis	Smith	Mission	979.9300000000001
David	Calderon	Caguas	979.9300000000001
Katherine	Smith	Salina	979.9300000000001
Mary	Smith	Caguas	979.9300000000001
Mary	Turner	Caguas	979.9300000000001
Melissa	Parker	Caguas	979.9300000000001
Theresa	Smith	West Jordan	979.9300000000001
Evelyn	Bradford	Hamtramck	979.9300000000001
Mary	Smith	Caguas	979.9300000000001
Katherine	Bailey	Germantown	979.9300000000001
Shawn	Smith	Germantown	979.9200000000001
Mary	Smith	Pharr	979.9200000000001
Kevin	Cline	Levittown	979.9200000000001
Austin	Guzman	Rochester	979.9200000000001
Gerald	Patel	Montebello	979.9200000000001
Mary	Watkins	Princeton	979.9200000000001
Virginia	Smith	Albuquerque	979.9200000000001
Andrew	Mcgee	San Jose	979.9200000000001
Frank	Smith	Caguas	979.9200000000001
Joseph	Smith	Compton	979.9200000000001
Patricia	Smith	Fort Lauderdale	979.9200000000001
Mary	Smith	Caguas	979.9200000000001
Sarah	Smith	Escondido	979.9200000000001
Mary	Sawyer	Caguas	979.9200000000001
Kenneth	Smith	Sugar Land	979.9200000000001
Mary	Smith	Baytown	979.9200000000001
Thomas	Smith	Cumberland	979.9200000000001
Mary	Smith	Chino	979.9200000000001
Mary	Larson	Rowland Heights	979.9200000000001
Howard	Nelson	Caguas	979.9200000000001
Nancy	Bryant	Caguas	979.9200000000001
Diana	Hernandez	Lodi	979.9200000000001
Howard	Smith	Napa	979.9200000000001
Alexander	Cunningham	Caguas	979.9200000000001
Joyce	Garcia	Los Angeles	979.9200000000001
John	Singh	Stockton	979.9200000000001
Sarah	Rogers	Los Angeles	979.9200000000001
Mary	Werner	El Paso	979.9200000000001
Jonathan	Costa	Panorama City	979.9200000000001
Virginia	Dyer	Quincy	979.9200000000001
Susan	Watkins	Chandler	979.9200000000001
Mary	Finley	Caguas	979.9200000000001
Sean	Smith	Caguas	979.9200000000001
Mary	Atkinson	Baltimore	979.9200000000001
Mary	Jackson	Caguas	979.9200000000001
Amanda	Roberson	Fremont	979.9100000000001
Larry	Sullivan	Roswell	979.9100000000001
Terry	Smith	Salem	979.9100000000001
Andrea	Sparks	Hanover	979.9100000000001
Michael	Garcia	Caguas	979.9100000000001
Mary	Hernandez	Wheeling	979.9100000000001
Mary	Bryant	Saint Charles	979.9100000000001
Mary	Smith	Piscataway	979.9100000000001
Mary	Smith	Pekin	979.9100000000001
Kathryn	Singh	Caguas	979.9100000000001
Ralph	Campbell	Eugene	979.9100000000001
Janice	Smith	Granite City	979.9100000000001
John	Church	Oregon City	979.9100000000001
Judith	Smith	Tempe	979.9100000000001
Linda	Smith	Caguas	979.9100000000001
Mary	Jackson	Caguas	979.9100000000001
James	Smith	Caguas	979.9100000000001
Jonathan	Cabrera	Bend	979.9100000000001
Mary	Frazier	New York	979.9100000000001
Kelly	Elliott	Chicago	979.9100000000001
Louis	Novak	Murfreesboro	979.9100000000001
Mary	Smith	Brooklyn	979.9100000000001
Mary	Marquez	Caguas	979.9100000000001
Mary	Greene	Los Angeles	979.9100000000001
Michael	Smith	Caguas	979.9100000000001
Mary	Smith	Caguas	979.91
Mary	Gallegos	New York	979.9000000000001
Daniel	Smith	Caguas	979.9000000000001
Kathy	Gross	Houston	979.9000000000001
Patricia	Hunt	Bronx	979.9000000000001
Mary	Hurst	New York	979.9000000000001
Shirley	Smith	Chicago	979.9000000000001
Mary	Smith	Memphis	979.9000000000001
Olivia	Owens	Caguas	979.9000000000001
Mary	Brewer	Caguas	979.9000000000001
Mary	Cervantes	Vega Baja	979.9000000000001
Mary	Smith	Santa Ana	979.9000000000001
Virginia	Green	San Bernardino	979.9000000000001
Mary	Wang	Mount Pleasant	979.9000000000001
Jean	Hoffman	Washington	979.9000000000001
Steven	Maddox	El Monte	979.9000000000001
Sharon	Smith	Costa Mesa	979.9000000000001
Judy	Oconnell	Caguas	979.9000000000001
Cynthia	Moran	Apopka	979.9000000000001
Mary	Turner	Caguas	979.9000000000001
Jonathan	Hill	Phoenix	979.9000000000001
John	Smith	Lancaster	979.9000000000001
Mary	Griffin	Newburgh	979.9000000000001
Megan	Rogers	Manchester	979.9000000000001
Mary	Smith	Caguas	979.9000000000001
Mary	Brennan	Long Beach	979.9000000000001
Mary	Moore	Campbell	979.9000000000001
Lawrence	Smith	Chicago	979.9000000000001
Mary	Smith	Caguas	979.9000000000001
Alan	Smith	Los Angeles	979.9000000000001
Patricia	Smith	Florissant	979.9000000000001
Debra	Potter	Caguas	979.9000000000001
