fname	lname	city	order_amount
Alexander	Smith	Carolina	299.99
Mary	Smith	Caguas	299.99
Michael	Reeves	Burnsville	299.99
Marilyn	Smith	Caguas	299.99
Mary	Smith	Caguas	299.99
Mary	Walker	Frankfort	299.99
Samuel	Santos	Spring Valley	299.99
Stephanie	Smith	Caguas	299.99
Mary	Stevens	Denver	299.99
Wayne	Rodriguez	Caguas	299.99
Mary	Smith	Lynn	299.99
Barbara	Gordon	Los Angeles	299.99
Deborah	Barber	Irving	299.99
Mary	Pitts	Caguas	299.99
Dylan	Fleming	Caguas	299.99
Elizabeth	Smith	Bloomfield	299.99
Ashley	Smith	Manchester	299.99
Richard	Smith	Hamtramck	299.99
Mary	Franco	New Bedford	299.99
Mary	Smith	Wilkes Barre	299.99
Mary	Reyes	Dallas	299.99
Cynthia	Mcbride	Clarksville	299.99
Michael	Smith	Gwynn Oak	299.99
Mary	Jones	Detroit	299.99
Mary	Wallace	Virginia Beach	299.99
Lauren	Perez	Portland	299.99
Lori	Smith	Caguas	299.99
Mary	Terry	Caguas	299.99
Brenda	Smith	Chesapeake	299.99
Alan	Smith	Caguas	299.99
Mary	Thomas	Caguas	299.99
Mary	Zimmerman	Orlando	299.99
Mildred	Lopez	Corona	299.99
Mary	Smith	Caguas	299.99
Mary	Cook	Caguas	299.99
Shawn	Ross	Philadelphia	299.99
Marilyn	Smith	Caguas	299.99
Anthony	Rosario	Philadelphia	299.99
George	Smith	Caguas	299.99
Mary	Hayes	Caguas	299.99
Karen	Green	Caguas	299.99
Albert	Merritt	Long Beach	299.99
Denise	Cohen	West Orange	299.99
Jessica	Smith	Baltimore	299.99
Mary	Smith	Aurora	299.99
Mary	Smith	San Antonio	299.99
Aaron	Smith	Salt Lake City	299.99
Mary	Riley	Knoxville	299.99
Mary	Beard	Birmingham	299.99
Mary	Taylor	Caguas	299.99
Mary	Hensley	Chesapeake	299.99
Mary	Smith	West Chester	299.99
Gerald	Smith	Caguas	299.99
Nicole	Gordon	Brooklyn	299.99
William	Salas	Los Angeles	299.99
Mary	Mitchell	Detroit	299.99
Joseph	Webster	Caguas	299.99
Mary	Mason	Caguas	299.99
Brian	Mitchell	Harlingen	299.99
Mary	Lindsey	El Centro	299.99
Mary	Ayala	Lindenhurst	299.99
Robert	Fitzpatrick	Caguas	299.99
Mary	Henderson	Caguas	299.99
Samuel	Smith	Denton	299.99
Martha	Smith	Chicago	299.99
Mary	Pope	Carrollton	299.99
Pamela	Alvarado	Fontana	299.99
Maria	Cook	Fontana	299.99
Mary	Smith	Ogden	299.99
Sharon	Moore	Caguas	299.99
Shawn	Smith	Caguas	299.99
Mary	Pitts	Cicero	299.99
Mary	Lester	Salina	299.99
James	Perry	Albuquerque	299.98
Karen	Smith	Everett	299.98
Wayne	Hood	Caguas	299.98
Carolyn	Harmon	Caguas	299.98
Karen	Small	Chicago	299.98
Scott	Fuller	Caguas	299.98
Mary	Smith	Lakewood	299.98
Christopher	Smith	Federal Way	299.98
Mary	Smith	Duluth	299.98
Daniel	Clayton	Piscataway	299.98
Virginia	Smith	Albuquerque	299.98
Andrea	Baird	San Diego	299.98
Christian	Smith	Caguas	299.98
Virginia	Smith	Antioch	299.98
Mary	Smith	Gardena	299.98
Ryan	Smith	Pharr	299.98
Mary	Patton	Cerritos	299.98
Ruth	Bush	Los Angeles	299.98
Mary	Smith	Phoenix	299.98
James	Koch	Caguas	299.98
Justin	Garcia	Medford	299.98
Mary	Haas	Caguas	299.98
Mary	Petty	Plainfield	299.98
Emma	Anderson	Caguas	299.98
Alexander	Smith	Dubuque	299.98
Megan	Moyer	Caguas	299.98
Grace	Lin	Caguas	299.98
Mary	Smith	Union	299.98
Sandra	Smith	Houston	299.98
Jennifer	Moss	Perth Amboy	299.98
Jane	Price	Chicago	299.98
Mary	Cabrera	Caguas	299.98
Christine	Smith	Sheboygan	299.98
Mary	Smith	Memphis	299.98
Raymond	Santana	Fort Worth	299.98
Mary	Gonzalez	Sunnyvale	299.98
Cheryl	Evans	Caguas	299.98
Heather	Johnson	Los Angeles	299.98
Frank	Camacho	Bayonne	299.98
Mary	Smith	Hendersonville	299.98
Lisa	Wallace	San Ramon	299.98
Timothy	Smith	Miami	299.98
Edward	Smith	Woodbridge	299.98
Peter	Smith	Caguas	299.98
Mary	Watkins	Knoxville	299.98
Margaret	Melton	El Paso	299.98
Joan	Davis	Caguas	299.98
Hannah	Wilson	Columbus	299.98
Roger	Gray	Jamaica	299.98
Mary	Smith	Newark	299.98
Patricia	Smith	Pawtucket	299.98
Mary	Smith	Howell	299.98
Gary	Garcia	Toa Alta	299.98
Kathy	Smith	Saint Paul	299.98
Adam	Smith	Caguas	299.98
Debra	Harvey	Caguas	299.98
Donna	Smith	El Monte	299.98
Mary	Richmond	Caguas	299.98
Mary	Smith	Brownsville	299.98
Alan	Smith	Washington	299.98
Larry	Booker	Opelousas	299.98
Michael	Cowan	Quincy	299.98
Elizabeth	Smith	Milwaukee	299.98
Mary	Smith	Lutz	299.98
Judith	Sandoval	Clearfield	299.98
Amanda	Odonnell	Caguas	299.98
Jessica	Johnston	Smyrna	299.98
Mary	Lyons	Lansdale	299.98
Mary	Mccormick	Caguas	299.98
Catherine	Sparks	Hawthorne	299.98
Mary	Smith	Philadelphia	299.98
Nicholas	Summers	Wilkes Barre	299.98
Mary	Wilson	Caguas	299.98
Madison	Smith	Caguas	299.98
Mary	Bass	Baltimore	299.98
Susan	Shannon	Muskegon	299.98
Mary	Smith	Cypress	299.98
Mary	Smith	Columbus	299.98
Mary	Ramos	Strongsville	299.98
Mary	Fuentes	Caguas	299.98
Helen	Bauer	Winter Park	299.98
Judith	Smith	Opelousas	299.98
Mary	Smith	Caguas	299.98
Lawrence	Harrison	Caguas	299.98
Mary	Lee	Weslaco	299.98
Laura	Smith	Harlingen	299.98
Barbara	Smith	Caguas	299.98
Melissa	Powers	Mount Pleasant	299.98
Megan	Smith	Caguas	299.98
Rebecca	Carter	Caguas	299.98
Gregory	Santiago	Chicago	299.98
Mary	Smith	Columbia	299.98
Carl	Warner	Denver	299.98
Edward	Hernandez	Detroit	299.98
William	Smith	Caguas	299.98
Scott	Smith	Caguas	299.98
Mary	Daugherty	El Cajon	299.98
Donald	Smith	Saginaw	299.98
Joseph	Clark	Caguas	299.98
Mary	Huffman	Albuquerque	299.98
Michael	Pham	Caguas	299.98
Mary	Smith	Caguas	299.98
Mary	Park	Caguas	299.98
William	Dudley	Caguas	299.98
Mary	Richardson	Las Vegas	299.98
Mary	Conway	Caguas	299.98
Mary	Gaines	Caguas	299.98
Janice	Ward	Caguas	299.98
Matthew	Watkins	Caguas	299.98
Nathan	Smith	Washington	299.98
Jacob	Smith	Saint Charles	299.98
Amber	Carr	Peabody	299.98
Mary	Marquez	Caguas	299.98
Kathleen	Smith	Albuquerque	299.98
Kathleen	Oconnor	Tracy	299.98
Mary	Frank	Bayamon	299.98
Mary	Hunt	Pekin	299.98
Betty	Ayala	San Marcos	299.98
Ashley	Smith	Caguas	299.98
