fname	lname	city	order_amount
Brian	House	Anaheim	329.9
Paul	Berry	Louisville	329.9
Kimberly	Smith	West Covina	329.9
Dorothy	Hawkins	Greensburg	329.9
Debra	Hardy	Potomac	329.89
William	Smith	Highland	329.88
Christine	Briggs	Highland	329.88
Mary	Jones	Humacao	329.88
Mary	Smith	Baltimore	329.88
Johnny	Marks	Caguas	329.88
Carolyn	Smith	Caguas	329.88
Mary	Carr	Staten Island	329.88
Mary	Smith	Tucson	329.88
Sean	Luna	Washington	329.88
Matthew	Delgado	Chicago	329.88
Mary	Rhodes	Caguas	329.88
Kenneth	Brown	Caguas	329.88
Mary	Smith	Caguas	329.88
Andrew	Smith	Caguas	329.88
Mary	Roberson	Brooklyn	329.88
Robert	Christensen	Highland	329.86999999999995
Theresa	Lopez	Winnetka	329.86
Mary	Smith	Richmond	329.85
Denise	Osborne	Cumberland	328.99
Donald	Smith	Katy	327.99
Mark	Smith	Pico Rivera	327.95
Mary	Smith	Caguas	327.95
Mary	York	San Diego	327.95
Mary	Cowan	Staten Island	327.95
Timothy	Smith	Caguas	327.95
Jeremy	Rowe	Modesto	327.95
Mary	Smith	Marietta	327.94000000000005
Mary	Torres	Caguas	327.94
Julia	Scott	Caguas	327.92
Mary	Sandoval	Bronx	327.92
Anna	Smith	Brooklyn	327.91
Charles	Smith	Saint Charles	327.88
Danielle	Smith	Bismarck	327.88
Mary	Holland	Caguas	325.96000000000004
Jeffrey	Smith	Caguas	325.96000000000004
Mary	Rodgers	Philadelphia	325.95000000000005
Elizabeth	Ramos	Caguas	325.0
Robert	Smith	San Jose	324.98
Mary	Davidson	Philadelphia	324.98
Timothy	Smith	Fort Lauderdale	324.98
James	Pacheco	Caguas	324.98
Billy	Mooney	Caguas	324.98
Stephen	Bond	San Francisco	324.98
Mary	Smith	San Benito	324.98
Diane	Smith	Caguas	324.98
Olivia	Smith	Caguas	324.97
Eugene	Perry	Jacksonville	324.97
Mary	Pugh	San Jose	324.97
Gregory	Pope	Compton	324.95
Frank	Foster	Staten Island	324.95
Henry	Smith	Memphis	324.95
Jonathan	Smith	Victorville	324.94000000000005
Theresa	Burns	Caguas	324.94
Christopher	Smith	Caguas	324.94
Mary	Watson	Apex	324.94
Jesse	Mack	Augusta	324.94
Joshua	Blake	Huntington Beach	324.94
Mary	Smith	Goose Creek	324.94
Jerry	Maldonado	Caguas	324.94
Joseph	Ryan	Wayne	324.94
Jason	Mcmahon	Tulare	324.94
Emma	Ellis	Caguas	324.94
Nathan	Smith	Caguas	324.94
Kathy	Jacobson	Chicago	324.94
Mary	Leonard	Sandusky	324.94
Tyler	Smith	Pico Rivera	324.93
William	Smith	Apopka	324.93
Mary	Smith	Caguas	324.9
Ashley	Aguirre	Caguas	324.89
Virginia	Dyer	Quincy	324.87
Rachel	Horn	Caguas	324.87
Danielle	Smith	Caguas	324.87
Mary	Martinez	Redmond	324.87
Joseph	Frye	Caguas	324.85
Mary	Gutierrez	Brooklyn	324.83000000000004
Mary	Barron	San Ramon	323.96000000000004
Timothy	Smith	Chicago	323.95
Donna	Smith	Crown Point	323.94
