fname	lname	city	order_amount
Mary	Jackson	Caguas	529.8299999999999
Mary	Jones	Manati	529.8299999999999
Mary	Smith	Brooklyn	529.8299999999999
Mary	Peterson	Caguas	529.8299999999999
Mary	Ortiz	Cordova	529.8299999999999
Patrick	Smith	Caguas	529.8299999999999
Mary	Smith	Richmond	529.8299999999999
Cynthia	Moody	Caguas	529.8299999999999
Mary	Mcdonald	Caguas	529.82
Mary	Smith	Lynn	529.82
Gregory	Dunn	Guayama	529.82
Bryan	Esparza	Los Angeles	529.82
Mary	Olson	Santa Cruz	529.8199999999999
Johnny	Smith	Caguas	529.8199999999999
Donna	Smith	Pompano Beach	529.8
Nicholas	Summers	Wilkes Barre	529.8
Mary	Mckenzie	Caguas	528.98
Ronald	Smith	Arecibo	528.98
Mary	Smith	Caguas	527.95
Sara	Smith	Eugene	527.94
Mary	Donovan	Amarillo	527.94
Joshua	Smith	Grand Prairie	527.94
Mary	Smith	Silver Spring	527.94
Rebecca	Smith	Rowland Heights	527.94
Mary	Fritz	Bronx	527.94
Mary	Smith	Caguas	527.9300000000001
Eric	Vega	Caguas	527.9200000000001
Virginia	Clark	Caguas	527.92
Adam	Navarro	Chicago	527.9
Lori	Burns	San Jose	527.9
Kevin	Bowers	Caguas	527.9
Olivia	Smith	Caguas	527.87
Catherine	Chan	Citrus Heights	526.95
Mary	Harris	Metairie	525.95
Stephanie	Mitchell	Caguas	525.95
David	Smith	Lakewood	525.94
Joyce	Anderson	Caguas	525.94
Debra	Byrd	Colorado Springs	525.9100000000001
Denise	Smith	Caguas	525.88
Mary	Smith	Elgin	524.98
Jonathan	Wilson	Caguas	524.98
Sean	Bradley	San Jose	524.97
Ethan	Smith	Pawtucket	524.97
David	Smith	Caguas	524.96
Deborah	Mendez	Las Vegas	524.96
Mary	Mcknight	Caguas	524.96
Nicholas	Smith	Lakewood	524.96
Mary	Bell	Caguas	524.96
Paul	Burns	Caguas	524.96
Victoria	Smith	Colorado Springs	524.96
Jesse	Smith	Mesquite	524.96
Frances	Gomez	Daly City	524.96
Patricia	Smith	Caguas	524.95
Kevin	Smith	Carol Stream	524.95
Mary	Murray	Lancaster	524.94
Grace	Smith	Caguas	524.94
Mary	Smith	Virginia Beach	524.9399999999999
Mary	Davis	Caguas	524.9300000000001
Betty	Smith	El Centro	524.9300000000001
Lawrence	Bryan	Jackson Heights	524.9300000000001
Catherine	Guerra	Caguas	524.9300000000001
Mary	Smith	Caguas	524.9300000000001
Bobby	Jimenez	Holland	524.9300000000001
Gary	Clayton	New York	524.9300000000001
Mark	Pena	Caguas	524.9300000000001
Mary	Chan	Miami	524.9300000000001
Justin	Garcia	Medford	524.9300000000001
Charles	Davis	Newburgh	524.9300000000001
Mary	Bowen	Laguna Hills	524.9300000000001
Robert	Reid	Ontario	524.9300000000001
Tiffany	Parks	New Orleans	524.9300000000001
Brandon	Smith	Walnut	524.93
Mary	Sweeney	Dallas	524.9200000000001
Ashley	Moyer	Escondido	524.9100000000001
Joseph	Jackson	Caguas	524.91
Mary	Whitney	Canovanas	524.91
Sandra	Smith	Lockport	524.9
Lauren	Smith	Philadelphia	524.9
Mary	Mayer	Tampa	524.9
Charles	Jensen	Caguas	524.89
Mary	Wilson	Joliet	524.88
Mary	Smith	Caguas	524.88
Mary	Smith	Caguas	524.87
Helen	Davidson	Endicott	524.86
