fname	lname	city	order_amount
Mark	Smith	Aurora	399.97
Andrew	Robles	Caguas	399.97
Teresa	Smith	Caguas	399.97
Jennifer	Smith	Bakersfield	399.97
Douglas	Washington	Mesquite	399.97
Gerald	Camacho	Lawrenceville	399.97
Kimberly	Blair	El Paso	399.97
Jennifer	Kerr	Santa Clara	399.97
Emily	Smith	Austin	399.97
Mary	Smith	Caguas	399.97
Mary	Snow	Memphis	399.97
Maria	Smith	Washington	399.97
Mary	Smith	Frankfort	399.97
Mary	Smith	Tucson	399.97
Michael	Peters	New Albany	399.97
Aaron	Smith	Salt Lake City	399.97
Donna	Smith	Santa Ana	399.97
Barbara	Norris	Caguas	399.97
Jacob	Smith	Clearfield	399.97
Mary	Cunningham	Caguas	399.97
Rachel	Burke	Mission	399.97
Ashley	Smith	Caguas	399.97
Kenneth	Myers	Miami	399.97
Raymond	Bray	Caguas	399.97
Michael	Kerr	Aurora	399.97
Mary	Chaney	Wyandotte	399.97
Mary	Myers	Caguas	399.97
Wayne	Gomez	Garden Grove	399.97
Mary	Carroll	Davis	399.97
Mary	Smith	New York	399.97
Joseph	Matthews	North Tonawanda	399.97
Madison	Smith	Caguas	399.97
Julia	Smith	Orange Park	399.97
Nathan	Gilmore	Caguas	399.97
Willie	Sanders	Sacramento	399.97
Evelyn	Jefferson	Caguas	399.97
Andrew	Smith	Rosemead	399.97
Mary	Smith	Caguas	399.97
Mary	Fox	Caguas	399.97
Michael	Williams	Riverside	399.97
Susan	Meyer	Caguas	399.97
Stephen	Campbell	Escondido	399.97
Mary	Kirk	Detroit	399.97
Jose	Molina	Philadelphia	399.97
Kathleen	Patrick	San Diego	399.97
Mary	Smith	Pacoima	399.97
Kevin	Smith	Caguas	399.97
Richard	Davila	Caguas	399.97
Mary	Hodges	Pasadena	399.97
Mary	Smith	New Orleans	399.97
Benjamin	Hurst	Jersey City	399.97
Aaron	Smith	Caguas	399.97
Mary	Smith	Levittown	399.97
Mary	Bennett	Lancaster	399.97
Joe	White	Saint Louis	399.97
Joyce	Smith	Moreno Valley	399.97
John	Smith	Denver	399.97
Debra	Smith	Caguas	399.97
Christopher	Smith	Caguas	399.97
Carolyn	Davis	Oviedo	399.97
Mary	Wong	Caguas	399.97
John	Smith	Caguas	399.97
Mary	Rogers	Caguas	399.97
Virginia	Williams	Caguas	399.97
Nicholas	Vazquez	Mililani	399.97
Mary	Stanton	Greeley	399.97
Mary	Smith	Caguas	399.97
Judy	Phillips	San Diego	399.97
Virginia	Ford	Caguas	399.97
Shirley	Henson	Caguas	399.97
Mary	Alvarez	Caguas	399.97
Albert	Smith	Caguas	399.97
Ryan	Smith	Encinitas	399.97
Christopher	Smith	Lancaster	399.97
Rebecca	Smith	Caguas	399.97
Mary	Smith	Brooklyn	399.97
Kathy	Simpson	San Diego	399.97
Mary	Dunn	Caguas	399.97
Gerald	Arellano	Caguas	399.97
Benjamin	Smith	Fort Lauderdale	399.97
Mildred	Smith	Bismarck	399.97
Danielle	Smith	Bismarck	399.97
