fname	lname	city	order_amount
Carl	Smith	Vega Baja	833.87
Charles	Bennett	Caguas	831.94
Mary	Garcia	Westerville	831.9200000000001
Thomas	Schroeder	Honolulu	831.91
Mary	Hall	Clarksville	831.88
Juan	Smith	San Jose	831.88
Sharon	Caldwell	Caguas	831.8700000000001
Mary	Smith	Oxnard	831.87
Catherine	Smith	Moline	831.87
Nathan	Rodriguez	Caguas	831.86
Walter	Fuller	North Richland Hills	831.84
Martha	Richmond	Caguas	831.84
Sandra	Smith	Honolulu	831.8000000000001
Judy	Miller	Westerville	830.8900000000001
Kimberly	Smith	West Covina	830.86
Heather	Smith	Caguas	829.99
William	Serrano	Caguas	829.99
Sarah	Larsen	Saint Paul	829.98
Mary	Terrell	Stafford	829.98
Mary	Kidd	Philadelphia	829.98
Danielle	Smith	Memphis	829.98
Rose	Delgado	Caguas	829.97
Brian	Walton	Brooklyn	829.97
Christine	Guerra	Bronx	829.97
Edward	Cooper	Caguas	829.97
Nicole	Lyons	Fort Lauderdale	829.97
Barbara	Robinson	Caguas	829.97
Mary	Mendoza	Stockbridge	829.97
Cynthia	Benjamin	Caguas	829.97
Andrew	Nguyen	Philadelphia	829.97
Mary	Mathews	Union City	829.97
Charles	Turner	Caguas	829.97
Barbara	Smith	Caguas	829.97
Mary	Smith	Lawton	829.97
Kimberly	Sheppard	Eagle Pass	829.97
Mary	Ferguson	Lutz	829.97
Mary	George	El Cajon	829.97
Russell	Dennis	Manati	829.97
Mary	Burns	York	829.97
Julie	Smith	Caguas	829.97
Mary	Smith	Caguas	829.96
Mary	Mullins	Caguas	829.96
Sharon	Smith	Houston	829.96
Kathy	Smith	Cleveland	829.96
Marie	Smith	Reynoldsburg	829.96
Mary	Webb	Caguas	829.96
Judy	Phillips	San Diego	829.96
Austin	Anderson	Canovanas	829.96
Mary	Brady	Caguas	829.96
Joan	Rosales	Caguas	829.96
Kimberly	Campos	College Station	829.96
Mary	Smith	Findlay	829.96
Brittany	Cummings	Caguas	829.96
Stephanie	Smith	Norwalk	829.96
Peter	Wilson	West Jordan	829.96
Joshua	Garcia	Caguas	829.96
Mary	Smith	Caguas	829.96
James	Vaughn	Portland	829.96
Roger	Smith	Crown Point	829.96
Mary	Simmons	Irving	829.96
Mary	Smith	San Antonio	829.96
Nicholas	Strickland	Union	829.96
Hannah	Hensley	Newburgh	829.96
Frank	Pierce	Caguas	829.96
Lori	Washington	Bronx	829.96
Mary	Smith	Winnetka	829.96
Lauren	Smith	Chicago	829.95
Mary	Vasquez	Caguas	829.95
Wayne	Rodriguez	Caguas	829.95
Kathryn	Becker	Chicago	829.95
Vincent	Smith	Caguas	829.95
James	Wilson	Caguas	829.95
Mary	Huffman	Caguas	829.95
Mary	Butler	Guayama	829.95
Lori	Perez	Caguas	829.95
Mary	Long	Daly City	829.95
Virginia	Odom	Chicago	829.95
Mary	Reeves	Bayamon	829.95
Mary	Miller	Sacramento	829.95
Mary	Carlson	Saint Louis	829.95
Danielle	Smith	Caguas	829.95
Michael	Torres	Caguas	829.95
Evelyn	Smith	Caguas	829.95
Mary	Navarro	Caguas	829.95
Benjamin	Smith	Phoenix	829.95
Mary	Alvarez	Caguas	829.95
Johnny	Johnson	Caguas	829.95
Donna	Smith	El Monte	829.95
Margaret	Wright	Oceanside	829.95
Theresa	Turner	Caguas	829.95
Catherine	Washington	Aurora	829.95
Elizabeth	Mcpherson	Richmond	829.95
Mary	Smith	Pomona	829.95
Willie	Cunningham	Los Angeles	829.95
Mary	Smith	Opelousas	829.95
